"","PUBID_1997","KEY_SEX_1997","KEY_BDATE_M_1997","KEY_BDATE_Y_1997","CV_SAMPLE_TYPE_1997","SAMPLING_WEIGHT_CC_1997","CV_HGC_RES_DAD_1997","CV_HGC_RES_MOM_1997","KEY_RACE_ETHNICITY_1997","CV_HIGHEST_DEGREE_EVER_EDT_2017","SAMPLING_WEIGHT_CC_2017","degree_label","race"
"6322",8652,2,9,1982,0,100745,8,12,1,2,113120,"HS Diploma","Black"
"6323",8654,1,4,1982,0,92990,NA,11,1,1,121408,"GED","Black"
"6324",8655,1,10,1983,0,100151,NA,11,1,1,133455,"GED","Black"
"6325",8656,1,11,1981,0,92626,12,10,1,2,130188,"HS Diploma","Black"
"6326",8657,1,9,1982,0,92990,12,10,1,2,121408,"HS Diploma","Black"
"6327",8658,1,1,1982,0,92990,NA,8,1,2,121408,"HS Diploma","Black"
"6328",8659,2,3,1984,0,105198,16,16,1,2,127093,"HS Diploma","Black"
"6329",8660,1,7,1980,0,116569,NA,10,1,4,158107,"BA","Black"
"6330",8662,1,9,1982,0,92440,NA,12,1,3,120690,"AA","Black"
"6331",8665,1,6,1982,0,94914,11,NA,1,2,123920,"HS Diploma","Black"
"6332",8666,1,11,1984,0,109203,NA,16,1,2,134878,"HS Diploma","Black"
"6333",8668,2,7,1981,0,106668,NA,10,1,3,127409,"AA","Black"
"6334",8669,2,9,1982,0,102829,NA,10,1,1,115460,"GED","Black"
"6335",8670,2,11,1980,0,86466,NA,NA,1,2,104699,"HS Diploma","Black"
"6336",8671,2,11,1984,0,108013,NA,9,1,4,130494,"BA","Black"
"6337",8674,1,8,1984,0,157524,5,14,1,1,194560,"GED","Black"
"6338",8675,1,6,1981,0,136377,11,NA,1,2,191681,"HS Diploma","Black"
"6339",8676,1,7,1981,0,136377,12,NA,1,1,191681,"GED","Black"
"6340",8677,1,7,1983,0,147455,12,NA,1,2,196490,"HS Diploma","Black"
"6341",8678,2,5,1984,0,126486,NA,9,2,2,156815,"HS Diploma","Hispanic"
"6342",8679,2,2,1982,0,148330,NA,11,1,3,166550,"AA","Black"
"6343",8680,2,3,1982,0,148330,NA,12,1,2,166550,"HS Diploma","Black"
"6344",8681,2,9,1983,0,146966,NA,13,1,4,186800,"BA","Black"
"6345",8683,1,9,1981,0,210988,NA,15,1,1,296550,"GED","Black"
"6346",8684,1,2,1982,0,211818,13,15,1,2,276550,"HS Diploma","Black"
"6347",8685,2,9,1984,0,241601,NA,14,1,4,291885,"BA","Black"
"6348",8686,1,6,1982,0,92687,NA,NA,1,1,121012,"GED","Black"
"6349",8687,2,8,1981,0,104164,NA,12,1,2,124418,"HS Diploma","Black"
"6350",8689,2,8,1983,0,227891,NA,13,1,1,289658,"GED","Black"
"6351",8691,1,12,1982,0,95045,NA,NA,1,1,124091,"GED","Black"
"6352",8692,1,3,1981,0,94673,NA,12,1,2,133065,"HS Diploma","Black"
"6353",8693,2,8,1982,0,102971,NA,12,1,2,115619,"HS Diploma","Black"
"6354",8694,1,4,1984,0,109354,NA,12,1,2,135064,"HS Diploma","Black"
"6355",8695,2,1,1984,0,108162,NA,12,1,5,130674,"MA","Black"
"6356",8696,2,2,1984,0,108162,11,NA,1,1,130674,"GED","Black"
"6357",8697,2,1,1982,0,105336,NA,12,1,0,118275,"None","Black"
"6358",8698,2,8,1981,0,109268,NA,12,1,3,130515,"AA","Black"
"6359",8699,2,10,1980,0,88574,13,NA,1,2,107251,"HS Diploma","Black"
"6360",8701,2,12,1984,0,89823,17,12,2,1,111361,"GED","Hispanic"
"6361",8702,1,8,1980,0,272744,12,NA,1,1,369933,"GED","Black"
"6362",8703,2,7,1981,0,243072,12,NA,1,2,290336,"HS Diploma","Black"
"6363",8704,1,9,1983,0,232943,12,NA,1,1,310405,"GED","Black"
"6364",8706,1,8,1980,0,277717,NA,16,1,2,376677,"HS Diploma","Black"
"6365",8707,1,10,1981,0,219369,14,14,1,4,308329,"BA","Black"
"6366",8711,2,10,1980,0,88701,NA,12,1,0,107405,"None","Black"
"6367",8713,2,12,1980,0,88701,NA,11,1,0,107405,"None","Black"
"6368",8715,2,9,1984,0,110805,NA,11,1,0,133867,"None","Black"
"6369",8717,2,7,1981,0,109425,NA,12,1,0,130702,"None","Black"
"6370",8718,1,2,1983,0,104865,NA,12,1,0,139737,"None","Black"
"6371",8719,1,6,1981,0,96987,NA,13,1,0,136317,"None","Black"
"6372",8720,2,12,1983,0,104518,NA,13,1,1,132846,"GED","Black"
"6373",8722,2,7,1984,0,110805,NA,NA,1,0,133867,"None","Black"
"6374",8723,2,7,1980,0,107001,NA,NA,2,1,133408,"GED","Hispanic"
